Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [-99.0, -94.0, -88.0, -91.0, -92.0, -89.0, -91.0, -97.0, -100.0, -98.0, -99.0, -103.0, -99.0, -96.0, -91.0, -87.0, -96.0, -96.0, -93.0, -94.0, -85.0, -89.0, -95.0, -89.0, -89.0, -89.0, -86.0, -94.0, -97.0, -94.0, -93.0, -93.0, -95.0, -98.0, -95.0, -92.0, -94.0, -92.0, -90.0, -93.0, -89.0, -90.0, -96.0, -86.0, -89.0, -95.0, -87.0, -90.0, -94.0, -95.0, -93.0, -93.0, -91.0, -93.0, -97.0, -86.0, -87.0, -97.0, -95.0, -98.0, -94.0, -93.0, -101.0, -91.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [-94.0, -95.0, -84.0, -92.0, -93.0, -88.0, -87.0, -93.0, -101.0, -100.0, -94.0, -91.0, -96.0, -93.0, -90.0, -100.0, -99.0, -94.0, -90.0, -88.0, -92.0, -90.0, -97.0, -104.0, -99.0, -94.0, -90.0, -94.0, -97.0, -86.0, -88.0, -93.0, -94.0, -94.0, -93.0, -94.0, -94.0, -99.0, -94.0, -82.0, -91.0, -94.0, -91.0, -96.0, -99.0, -101.0, -93.0, -87.0, -88.0, -85.0, -98.0, -98.0, -85.0, -93.0, -98.0, -93.0, -100.0, -100.0, -92.0, -90.0, -87.0, -90.0, -94.0, -92.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [-102.0, -101.0, -85.0, -89.0, -91.0, -92.0, -98.0, -92.0, -98.0, -101.0, -93.0, -99.0, -98.0, -97.0, -91.0, -85.0, -94.0, -95.0, -98.0, -102.0, -89.0, -89.0, -93.0, -85.0, -86.0, -89.0, -86.0, -82.0, -86.0, -97.0, -95.0, -93.0, -97.0, -93.0, -91.0, -93.0, -92.0, -86.0, -88.0, -106.0, -97.0, -86.0, -101.0, -96.0, -88.0, -91.0, -83.0, -84.0, -94.0, -96.0, -90.0, -81.0, -87.0, -97.0, -93.0, -90.0, -95.0, -92.0, -87.0, -92.0, -94.0, -91.0, -88.0, -94.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [-94.0, -87.0, -93.0, -93.0, -89.0, -87.0, -85.0, -94.0, -93.0, -90.0, -95.0, -87.0, -86.0, -93.0, -91.0, -87.0, -94.0, -91.0, -85.0, -96.0, -95.0, -95.0, -97.0, -93.0, -104.0, -100.0, -91.0, -96.0, -87.0, -83.0, -94.0, -94.0, -82.0, -81.0, -92.0, -91.0, -96.0, -101.0, -94.0, -92.0, -89.0, -85.0, -88.0, -95.0, -98.0, -96.0, -89.0, -89.0, -92.0, -89.0, -88.0, -88.0, -87.0, -95.0, -101.0, -98.0, -95.0, -95.0, -93.0, -91.0, -90.0, -93.0, -97.0, -98.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [-99.0, -95.0, -90.0, -102.0, -100.0, -88.0, -97.0, -96.0, -92.0, -95.0, -93.0, -99.0, -104.0, -97.0, -91.0, -95.0, -92.0, -93.0, -94.0, -86.0, -92.0, -94.0, -95.0, -98.0, -88.0, -87.0, -97.0, -97.0, -89.0, -98.0, -95.0, -82.0, -90.0, -93.0, -94.0, -95.0, -89.0, -94.0, -95.0, -92.0, -89.0, -87.0, -88.0, -89.0, -96.0, -93.0, -82.0, -95.0, -107.0, -97.0, -94.0, -96.0, -93.0, -95.0, -90.0, -83.0, -91.0, -88.0, -81.0, -92.0, -97.0, -92.0, -93.0, -97.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [-95.0, -91.0, -96.0, -102.0, -96.0, -89.0, -88.0, -94.0, -99.0, -96.0, -96.0, -94.0, -92.0, -93.0, -88.0, -93.0, -91.0, -82.0, -89.0, -92.0, -92.0, -93.0, -93.0, -96.0, -90.0, -93.0, -95.0, -92.0, -93.0, -90.0, -92.0, -92.0, -93.0, -93.0, -96.0, -98.0, -94.0, -101.0, -89.0, -85.0, -95.0, -87.0, -84.0, -85.0, -91.0, -99.0, -96.0, -89.0, -77.0, -86.0, -96.0, -87.0, -91.0, -93.0, -89.0, -91.0, -88.0, -89.0, -98.0, -96.0, -85.0, -88.0, -99.0, -94.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [16.0, 22.0, 25.0, 22.0, 22.0, 24.0, 22.0, 16.0, 27.0, 24.0, 11.0, 18.0, 18.0, 18.0, 26.0, 23.0, 26.0, 27.0, 14.0, 17.0, 19.0, 14.0, 12.0, 12.0, 17.0, 16.0, 24.0, 35.0, 33.0, 32.0, 21.0, 20.0, 25.0, 21.0, 21.0, 16.0, 19.0, 26.0, 22.0, 19.0, 18.0, 23.0, 26.0, 17.0, 18.0, 27.0, 18.0, 20.0, 27.0, 19.0, 21.0, 18.0, 17.0, 28.0, 20.0, 21.0, 32.0, 20.0, 22.0, 24.0, 14.0, 24.0, 29.0, 23.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [25.0, 29.0, 27.0, 18.0, 17.0, 25.0, 20.0, 16.0, 30.0, 24.0, 17.0, 40.0, 36.0, 20.0, 24.0, 21.0, 28.0, 27.0, 25.0, 34.0, 21.0, 18.0, 27.0, 32.0, 25.0, 9.0, 19.0, 24.0, 18.0, 20.0, 22.0, 32.0, 27.0, 24.0, 34.0, 17.0, 16.0, 25.0, 18.0, 25.0, 23.0, 22.0, 23.0, 9.0, 16.0, 22.0, 18.0, 28.0, 27.0, 21.0, 18.0, 18.0, 25.0, 27.0, 25.0, 29.0, 28.0, 28.0, 21.0, 15.0, 24.0, 28.0, 22.0, 19.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [25.0, 30.0, 25.0, 24.0, 25.0, 26.0, 24.0, 20.0, 22.0, 23.0, 26.0, 24.0, 17.0, 19.0, 20.0, 18.0, 22.0, 17.0, 8.0, 22.0, 34.0, 22.0, 16.0, 18.0, 11.0, 12.0, 24.0, 20.0, 16.0, 30.0, 24.0, 19.0, 27.0, 22.0, 34.0, 34.0, 20.0, 26.0, 21.0, 27.0, 32.0, 16.0, 18.0, 21.0, 22.0, 21.0, 16.0, 22.0, 31.0, 30.0, 30.0, 32.0, 23.0, 19.0, 16.0, 18.0, 25.0, 23.0, 25.0, 19.0, 20.0, 30.0, 25.0, 25.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [18.0, 9.0, 21.0, 26.0, 19.0, 16.0, 20.0, 18.0, 16.0, 19.0, 18.0, 27.0, 31.0, 14.0, 20.0, 32.0, 16.0, 12.0, 20.0, 17.0, 9.0, 15.0, 32.0, 34.0, 23.0, 16.0, 17.0, 19.0, 22.0, 29.0, 25.0, 16.0, 17.0, 26.0, 25.0, 13.0, 13.0, 23.0, 31.0, 26.0, 28.0, 20.0, 12.0, 31.0, 19.0, 13.0, 22.0, 10.0, 23.0, 24.0, 22.0, 28.0, 12.0, 18.0, 25.0, 18.0, 22.0, 23.0, 19.0, 21.0, 24.0, 19.0, 26.0, 19.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [12.0, 24.0, 15.0, 19.0, 31.0, 13.0, 11.0, 18.0, 14.0, 17.0, 19.0, 17.0, 28.0, 29.0, 22.0, 35.0, 30.0, 24.0, 34.0, 23.0, 15.0, 13.0, 19.0, 29.0, 24.0, 23.0, 25.0, 31.0, 21.0, 17.0, 30.0, 16.0, 22.0, 31.0, 18.0, 29.0, 21.0, 12.0, 28.0, 26.0, 28.0, 22.0, 20.0, 29.0, 18.0, 16.0, 19.0, 14.0, 16.0, 20.0, 31.0, 31.0, 22.0, 21.0, 15.0, 21.0, 28.0, 9.0, 11.0, 30.0, 23.0, 19.0, 23.0, 16.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [20.0, 35.0, 26.0, 20.0, 25.0, 15.0, 15.0, 17.0, 18.0, 26.0, 24.0, 26.0, 21.0, 20.0, 34.0, 21.0, 18.0, 41.0, 25.0, 11.0, 23.0, 13.0, 10.0, 20.0, 22.0, 20.0, 22.0, 23.0, 14.0, 23.0, 28.0, 17.0, 15.0, 13.0, 21.0, 17.0, 15.0, 26.0, 14.0, 17.0, 27.0, 23.0, 31.0, 18.0, 7.0, 24.0, 25.0, 21.0, 35.0, 37.0, 21.0, 17.0, 26.0, 33.0, 35.0, 31.0, 23.0, 20.0, 17.0, 17.0, 28.0, 31.0, 27.0, 25.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [12.0, 12.0, 21.0, 18.0, 19.0, 25.0, 23.0, 22.0, 20.0, 19.0, 32.0, 32.0, 22.0, 21.0, 15.0, 20.0, 24.0, 13.0, 21.0, 35.0, 25.0, 17.0, 20.0, 13.0, 13.0, 25.0, 21.0, 17.0, 29.0, 23.0, 10.0, 15.0, 22.0, 15.0, 14.0, 22.0, 24.0, 16.0, 12.0, 18.0, 17.0, 24.0, 32.0, 21.0, 20.0, 17.0, 16.0, 26.0, 18.0, 19.0, 28.0, 12.0, 9.0, 26.0, 28.0, 32.0, 28.0, 20.0, 24.0, 20.0, 21.0, 25.0, 17.0, 13.0]
Notification from 1c930020-d459-11e7-9296-b8e856369374 (Handle: 35): Unknown: [23.0, 29.0, 26.0, 30.0, 27.0, 27.0, 33.0, 17.0, 6.0, 10.0, 12.0, 19.0, 23.0, 27.0, 23.0, 19.0, 28.0, 22.0, 14.0, 20.0, 19.0, 9.0, 18.0, 32.0, 21.0, 20.0, 29.0, 24.0, 25.0, 21.0, 23.0, 32.0, 24.0, 19.0, 10.0, 12.0, 27.0, 13.0, 9.0, 29.0, 26.0, 22.0, 25.0, 23.0, 26.0, 21.0, 20.0, 17.0, 13.0, 21.0, 23.0, 17.0, 23.0, 21.0, 18.0, 29.0, 27.0, 17.0, 15.0, 27.0, 31.0, 14.0, 14.0, 27.0]
Write done. Listening for notifications...
